,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,0,0,0,9,8,2,44,23,32,0,0,1,243,12,17,41.4,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,7,0,0,29,49,3,54,20,36,1,0,0,281,23,42,35.4,Matches
3,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,0,0,0,21,20,0,1,24,37,0,1,0,226,86,42,67.2,Matches
4,Suleiman Abdullahi\Suleiman-Abdullahi,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,1.7,1,0,0,0,0,3,7,1,1,0,0,0,15,6,11,35.3,Matches
5,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,5,0,0,55,43,1,18,17,41,0,1,0,194,14,19,42.4,Matches
6,Charles Abi\Charles-Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,2,0,0,16,10,7,4,4,8,1,0,0,25,27,39,40.9,Matches
7,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,2,1,0,14,12,0,5,16,22,0,0,0,224,51,32,61.4,Matches
8,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,2,0,0,17,24,23,10,5,10,1,0,1,95,67,110,37.9,Matches
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,3,0,0,17,12,0,5,8,13,0,0,0,84,12,9,57.1,Matches
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,4,0,0,25,41,5,24,28,33,1,0,0,357,72,35,67.3,Matches
11,Che Adams\Che-Adams,sco SCO,FW,Southampton,eng Premier League,23,1996,12.3,0,0,0,17,16,10,12,3,6,1,0,0,73,29,86,25.2,Matches
12,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,de Bundesliga,20,1999,10.6,0,0,0,9,16,0,9,7,12,0,0,0,106,10,16,38.5,Matches
13,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,26,1993,8.3,1,0,0,12,7,7,6,3,4,1,0,0,47,14,40,25.9,Matches
14,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
15,Bobby Adekanye\Bobby-Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,1,0,0,2,3,1,1,2,3,0,0,0,10,1,6,14.3,Matches
16,Claud Adjapong\Claud-Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,0,0,0,3,2,1,2,3,3,0,0,0,12,4,2,66.7,Matches
17,Amine Adli\Amine-Adli,fr FRA,MFFW,Toulouse,fr Ligue 1,19,2000,0.5,1,0,0,2,0,0,1,1,0,0,0,0,4,1,1,50.0,Matches
18,Yacine Adli\Yacine-Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,19,2000,11.3,3,0,0,13,18,0,11,9,18,0,0,0,85,9,14,39.1,Matches
19,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,1,0,0,0,1,0,0,0,0,0,0,0,47,0,0,,Matches
20,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,3,0,0,7,1,0,1,0,1,0,0,0,7,20,6,76.9,Matches
21,Lumor Agbenyenu\Lumor-Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,5,1,1,13,10,0,54,11,23,0,0,0,205,14,15,48.3,Matches
22,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,5,1,0,32,19,1,30,9,22,0,1,0,207,23,20,53.5,Matches
23,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,1,0,0,1,0,0,1,1,3,0,0,0,10,1,0,100.0,Matches
